PERIOD 1: 9/7/17 - 9/11/17 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (W),Vendelso Villains (L),97.0 - 95.0,,
Gooberville Sea Lions (L),Danderyd Dragons (W),97.0 - 99.0,,
Lindesberg Latecomers (W),Solna Big Moose (L),73.0 - 67.0,,
Nya Englands Patrioter (L),Gröna Dalens Vildhästar (W),79.0 - 131.0,,
Hjorthagen Highlanders (W),Saltis 73'ers (L),80.0 - 66.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gröna Dalens Vildhästar,1,0,0,131
Danderyd Dragons,1,0,0,99
Gooberville Sea Lions,0,1,0,97
Nya Englands Patrioter,0,1,0,79
Solna Big Moose,0,1,0,67
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Bagarmossen Barbarians,1,0,0,97
Hjorthagen Highlanders,1,0,0,80
Lindesberg Latecomers,1,0,0,73
Vendelso Villains,0,1,0,95
Saltis 73'ers,0,1,0,66
PERIOD 2: 9/12/17 - 9/18/17 MATCHUPS,@,RESULTS,,
Hjorthagen Highlanders (W),Lindesberg Latecomers (L),93.0 - 90.0,,
Gröna Dalens Vildhästar (W),Danderyd Dragons (L),103.0 - 82.0,,
Vendelso Villains (L),Nya Englands Patrioter (W),87.0 - 132.0,,
Solna Big Moose (L),Gooberville Sea Lions (W),79.0 - 88.0,,
Saltis 73'ers (L),Bagarmossen Barbarians (W),102.0 - 126.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gröna Dalens Vildhästar,2,0,0,234
Nya Englands Patrioter,1,1,0,211
Gooberville Sea Lions,1,1,0,185
Danderyd Dragons,1,1,0,181
Solna Big Moose,0,2,0,146
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Bagarmossen Barbarians,2,0,0,223
Hjorthagen Highlanders,2,0,0,173
Lindesberg Latecomers,1,1,0,163
Vendelso Villains,0,2,0,182
Saltis 73'ers,0,2,0,168
PERIOD 3: 9/19/17 - 9/25/17 MATCHUPS,@,RESULTS,,
Lindesberg Latecomers (L),Saltis 73'ers (W),61.0 - 102.0,,
Bagarmossen Barbarians (L),Gooberville Sea Lions (W),87.0 - 115.0,,
Danderyd Dragons (L),Nya Englands Patrioter (W),71.0 - 109.0,,
Solna Big Moose (L),Gröna Dalens Vildhästar (W),70.0 - 92.0,,
Vendelso Villains (L),Hjorthagen Highlanders (W),79.0 - 94.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Gröna Dalens Vildhästar,3,0,0,326
Nya Englands Patrioter,2,1,0,320
Gooberville Sea Lions,2,1,0,300
Danderyd Dragons,1,2,0,252
Solna Big Moose,0,3,0,216
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,3,0,0,267
Bagarmossen Barbarians,2,1,0,310
Saltis 73'ers,1,2,0,270
Lindesberg Latecomers,1,2,0,224
Vendelso Villains,0,3,0,261
PERIOD 4: 9/26/17 - 10/2/17 MATCHUPS,@,RESULTS,,
Hjorthagen Highlanders (W),Bagarmossen Barbarians (L),111.0 - 100.0,,
Gooberville Sea Lions (L),Nya Englands Patrioter (W),97.0 - 108.0,,
Lindesberg Latecomers (W),Vendelso Villains (L),104.0 - 65.0,,
Danderyd Dragons (W),Solna Big Moose (L),92.0 - 68.0,,
Gröna Dalens Vildhästar (L),Saltis 73'ers (W),95.0 - 97.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,3,1,0,428
Gröna Dalens Vildhästar,3,1,0,421
Gooberville Sea Lions,2,2,0,397
Danderyd Dragons,2,2,0,344
Solna Big Moose,0,4,0,284
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,4,0,0,378
Bagarmossen Barbarians,2,2,0,410
Saltis 73'ers,2,2,0,367
Lindesberg Latecomers,2,2,0,328
Vendelso Villains,0,4,0,326
PERIOD 5: 10/3/17 - 10/9/17 MATCHUPS,@,RESULTS,,
Danderyd Dragons (W),Bagarmossen Barbarians (L),116.0 - 82.0,,
Gooberville Sea Lions (W),Saltis 73'ers (L),108.0 - 82.0,,
Solna Big Moose (L),Nya Englands Patrioter (W),54.0 - 71.0,,
Gröna Dalens Vildhästar (L),Vendelso Villains (W),88.0 - 90.0,,
Lindesberg Latecomers (W),Hjorthagen Highlanders (L),135.0 - 89.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,4,1,0,499
Gröna Dalens Vildhästar,3,2,0,509
Gooberville Sea Lions,3,2,0,505
Danderyd Dragons,3,2,0,460
Solna Big Moose,0,5,0,338
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,4,1,0,467
Lindesberg Latecomers,3,2,0,463
Bagarmossen Barbarians,2,3,0,492
Saltis 73'ers,2,3,0,449
Vendelso Villains,1,4,0,416
PERIOD 6: 10/10/17 - 10/16/17 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (L),Nya Englands Patrioter (W),90.0 - 113.0,,
Solna Big Moose (W),Vendelso Villains (L),97.0 - 89.0,,
Saltis 73'ers (W),Danderyd Dragons (L),115.0 - 97.0,,
Lindesberg Latecomers (W),Gröna Dalens Vildhästar (L),81.0 - 70.0,,
Hjorthagen Highlanders (W),Gooberville Sea Lions (L),75.0 - 59.0,,
SVENSKA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Nya Englands Patrioter,5,1,0,612
Gröna Dalens Vildhästar,3,3,0,579
Gooberville Sea Lions,3,3,0,564
Danderyd Dragons,3,3,0,557
Solna Big Moose,1,5,0,435
NATIONELLA FOTBOLLSKONFERENSEN DIVISION,W,L,T,FPTS
Hjorthagen Highlanders,5,1,0,542
Lindesberg Latecomers,4,2,0,544
Saltis 73'ers,3,3,0,564
Bagarmossen Barbarians,2,4,0,582
Vendelso Villains,1,5,0,505
PERIOD 7: 10/17/17 - 10/23/17 MATCHUPS,@,RESULTS,,
Bagarmossen Barbarians (L),Lindesberg Latecomers (W),48.0 - 105.0,,
Saltis 73'ers (W),Vendelso Villains (L),107.0 - 103.0,,
Gröna Dalens Vildhästar (L),Gooberville Sea Lions (W),90.0 - 110.0,,
Nya Englands Patrioter (W),Solna Big Moose (L),131.0 - 48.0,,
Danderyd Dragons (W),Hjorthagen Highlanders (L),105.0 - 103.0,,
